PlayId;Floor;PathName;PathType;EncounterName;EncounterType;EventName;PlayerChoice;DamageTaken;TurnsTaken;CharacterChosen;VictoryTF
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;16;boss;BOSS;Slime Boss;encounter;NULL;NULL;39;10;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;51;boss;BOSS;Donu and Deca;encounter;NULL;NULL;21;6;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;16;boss;BOSS;Slime Boss;encounter;NULL;NULL;10;5;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;50;boss;BOSS;Time Eater;encounter;NULL;NULL;51;7;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;56;boss;BOSS;The Heart;encounter;NULL;NULL;136;7;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;33;boss;BOSS;Champ;encounter;NULL;NULL;29;7;IRONCLAD;true
00b27055-7cdd-4f02-abbb-612ef829b132;16;boss;BOSS;Slime Boss;encounter;NULL;NULL;12;7;DEFECT;false
00b27055-7cdd-4f02-abbb-612ef829b132;51;boss;BOSS;Donu and Deca;encounter;NULL;NULL;35;6;DEFECT;false
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;50;boss;BOSS;Time Eater;encounter;NULL;NULL;0;8;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;56;boss;BOSS;The Heart;encounter;NULL;NULL;8;4;IRONCLAD;true
00b27055-7cdd-4f02-abbb-612ef829b132;50;boss;BOSS;Awakened One;encounter;NULL;NULL;58;9;DEFECT;false
01019497-7689-4c92-8dbf-5e9d6fb60fad;33;boss;BOSS;Collector;encounter;NULL;NULL;37;6;IRONCLAD;false
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;33;boss;BOSS;Collector;encounter;NULL;NULL;6;3;IRONCLAD;true
01019497-7689-4c92-8dbf-5e9d6fb60fad;16;boss;BOSS;Slime Boss;encounter;NULL;NULL;26;9;IRONCLAD;false
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;51;boss;BOSS;Awakened One;encounter;NULL;NULL;12;4;IRONCLAD;true
00b27055-7cdd-4f02-abbb-612ef829b132;33;boss;BOSS;Champ;encounter;NULL;NULL;30;10;DEFECT;false
016fe2d2-4723-4558-aa81-f4980a023067;50;boss;BOSS;Awakened One;encounter;NULL;NULL;21;11;THE_SILENT;true
016fe2d2-4723-4558-aa81-f4980a023067;56;boss;BOSS;The Heart;encounter;NULL;NULL;26;7;THE_SILENT;true
016fe2d2-4723-4558-aa81-f4980a023067;16;boss;BOSS;The Guardian;encounter;NULL;NULL;10;9;THE_SILENT;true
016fe2d2-4723-4558-aa81-f4980a023067;51;boss;BOSS;Donu and Deca;encounter;NULL;NULL;17;5;THE_SILENT;true
