PlayId;Floor;PathName;PathType;EncounterName;EncounterType;EventName;PlayerChoice;DamageTaken;TurnsTaken;CharacterChosen;VictoryTF
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;5;enemy;M;2 Fungi Beasts;encounter;NULL;NULL;0;5;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;8;enemy;M;Exordium Wildlife;encounter;NULL;NULL;16;6;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;21;enemy;M;2 Thieves;encounter;NULL;NULL;7;5;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;24;elite;E;Book of Stabbing;encounter;NULL;NULL;32;3;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;30;enemy;M;Snake Plant;encounter;NULL;NULL;37;5;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;37;enemy;M;Transient;encounter;NULL;NULL;0;6;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;40;elite;E;Nemesis;encounter;NULL;NULL;20;5;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;50;boss;BOSS;Time Eater;encounter;NULL;NULL;51;7;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;56;boss;BOSS;The Heart;encounter;NULL;NULL;136;7;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;2;enemy;M;Cultist;encounter;NULL;NULL;3;4;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;5;event;?;FaceTrader;event;FaceTrader;Touch;7;NULL;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;18;enemy;M;Shell Parasite;encounter;NULL;NULL;11;2;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;21;enemy;M;Shelled Parasite and Fungi;encounter;NULL;NULL;41;5;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;3;event;?;Small Slimes;encounter;NULL;NULL;9;5;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;16;boss;BOSS;Slime Boss;encounter;NULL;NULL;39;10;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;19;event;?;Nest;event;Nest;Stole From Cult;0;NULL;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;22;enemy;M;Cultist and Chosen;encounter;NULL;NULL;34;4;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;29;elite;E;Gremlin Leader;encounter;NULL;NULL;41;6;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;35;enemy;M;3 Darklings;encounter;NULL;NULL;25;3;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;42;elite;E;Reptomancer;encounter;NULL;NULL;27;4;IRONCLAD;true
002ebabf-c144-4ca1-90f9-6c516a3ecfdd;51;boss;BOSS;Donu and Deca;encounter;NULL;NULL;21;6;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;3;enemy;M;Jaw Worm;encounter;NULL;NULL;7;5;IRONCLAD;true
007abd4e-7fab-4e7d-8f0b-a8821d2fce43;10;elite;E;3 Sentries;encounter;NULL;NULL;5;8;IRONCLAD;true
